,Make,Year of manufacture,Condition,Mileage,Engine_Size,Fuel,Transmission,Price,Build
1579,16,2014,1,82730,2500,0,0,6825000,0
1588,16,2008,1,129518,3500,0,0,3360000,0
1592,16,2007,1,322125,3500,0,0,4004000,0
1593,9,2011,0,107347,2400,0,0,3150000,0
1596,14,2009,1,127446,3500,0,0,4200000,0
1597,27,2008,0,104417,3500,0,0,6136000,0
1598,17,2006,0,104613,5000,0,0,3640000,0
1599,27,2006,0,92498,2500,0,0,2625000,0
1605,0,2004,0,231349,3500,0,0,2402400,0
1610,27,2006,0,92498,2500,0,0,2625000,0
1611,27,2007,0,89114,2000,0,0,2415000,0
1612,27,2004,0,455552,2000,0,0,2080000,0
1614,16,2010,1,236399,3700,0,0,4500000,0
1618,17,2006,0,59225,3500,0,0,3360000,0
1619,27,2009,0,11582,3500,0,3,4200000,0
1620,27,2010,1,210366,2500,0,0,5616000,0
1622,15,2009,1,119687,3500,0,0,6090000,0
1629,16,2007,0,131038,23000,0,0,2600000,0
1634,16,2008,1,284391,3700,0,0,3990000,0
1635,17,2006,0,104613,5000,0,0,3640000,0
1637,12,2009,1,231640,3800,0,0,4305000,0
1638,10,2008,0,168262,3500,0,0,1575000,0
1640,12,2011,0,125110,1600,0,0,3675000,0
1641,5,2011,0,273106,3000,0,0,2310000,0
1642,7,2009,1,511741,3500,0,0,4725000,0
1645,16,2008,0,263513,3700,0,0,2912000,0
1647,16,2007,0,160611,3500,0,0,3150000,0
1655,27,2003,0,112583,3000,0,0,2100000,0
1657,0,2004,0,231349,3500,0,0,2402400,0
1662,16,2010,0,116506,3700,0,0,3465000,0
1663,12,2011,0,73402,2400,0,0,3255000,0
1665,12,2011,0,73402,2400,0,0,3255000,0
1670,9,2011,0,104500,2000,0,0,2257500,0
1673,27,2006,1,319745,3300,0,0,3517500,0
1674,0,2005,0,309945,3500,0,0,1716000,0
1680,12,2008,1,143438,2000,0,0,3570000,0
1683,27,2008,0,152660,3500,0,0,2415000,0
1684,5,2009,0,103814,3500,0,0,2100000,0
1691,17,2010,0,87147,3500,0,0,7280000,0
1695,27,2005,0,66653,2500,0,0,1976000,0
1696,16,2010,1,236399,3700,0,0,4500000,0
1699,27,2011,0,69658,2400,0,0,4095000,0
1700,16,2011,1,162660,3000,0,0,3990000,0
1714,14,2004,0,261065,3000,0,0,2730000,0
1725,12,2015,0,96648,2000,0,0,8400000,0
1727,27,2006,0,303795,2400,0,0,2625000,0
1732,27,2020,0,13668,3500,0,0,39900000,0
1733,7,2011,1,3621,3500,0,0,6240000,0
1738,17,2006,0,96521,3500,0,0,3640000,0
1743,7,2007,1,283271,3500,0,0,3150000,0
1750,27,2005,0,66653,2500,0,0,1976000,0
1757,27,2008,1,12500,3500,0,0,2940000,0
1758,27,2002,0,107954,3000,0,0,1575000,0
1759,14,2004,0,16767,3300,0,0,2730000,0
1763,7,2016,0,142904,3500,0,0,10500000,0
1765,17,2006,0,96521,3500,0,0,3640000,0
1768,13,2010,0,269558,5000,0,0,2730000,0
1769,16,2007,1,180255,2300,0,0,2940000,0
1771,14,2004,0,16767,3300,0,0,2730000,0
1774,17,2012,0,164332,3500,0,0,6240000,0
1775,7,2007,1,182702,3500,0,0,3150000,0
1776,5,2013,1,126077,3500,0,0,2625000,0
1779,7,2007,1,405706,3500,0,0,3250000,0
1782,7,2016,0,142904,3500,0,0,10500000,0
1783,14,2017,1,59838,4600,0,0,27300000,0
1786,7,2011,1,3621,3500,0,0,6240000,0
1788,10,2002,0,286114,3500,0,0,1456000,0
1792,7,2009,0,289764,35000,0,0,3045000,0
1795,17,2010,0,87147,3500,0,0,7280000,0
1799,27,2010,0,97244,3500,0,0,6760000,0
1811,7,2007,1,405706,3500,0,0,3250000,0
1817,14,1999,0,59302,3500,0,0,1575000,0
1827,16,2007,1,180255,2300,0,0,2940000,0
1829,10,2002,0,286114,3500,0,0,1456000,0
1831,7,2007,1,125000,3500,0,0,3224000,0
1832,9,2009,0,368168,3300,0,0,2415000,0
1835,9,2014,1,120005,3300,0,0,9880000,0
1844,19,2013,1,42618,3500,0,0,3570000,0
1874,12,2011,0,128051,3500,0,0,3675000,0
1875,27,2014,0,51400,3500,0,0,6760000,0
1879,14,2008,1,198621,3500,0,0,6240000,0
1884,19,2010,1,353097,2500,0,0,3465000,0
1886,27,2002,0,107954,3000,0,0,1575000,0
1888,14,1999,0,53312,3000,0,0,1575000,0
1891,7,2005,0,24726,2400,0,0,1560000,0
1896,7,2012,1,79396,2400,0,0,5775000,0
1902,27,2006,0,284652,3300,0,0,2625000,0
1903,19,2009,1,257648,2500,0,2,3150000,0
1905,14,2000,0,485206,3000,0,0,1680000,0
1909,19,2011,1,335021,2500,0,2,3780000,0
1910,7,2012,1,79396,2400,0,0,5775000,0
1911,5,2002,0,253810,4000,0,0,1470000,0
1912,7,2015,1,83310,2400,0,2,8400000,0
1914,14,2013,0,82065,3500,0,0,8528000,0
1917,27,2006,0,284652,3300,0,0,2625000,0
1926,5,2010,0,288554,3500,0,0,3328000,0
1935,19,2014,0,55684,3500,0,0,5250000,0
1940,16,2007,0,190830,2300,0,0,3432000,0
1941,12,2013,1,134409,2400,0,0,6615000,0
1943,19,2015,0,50278,3500,0,0,7875000,0
1949,19,2009,1,380428,2500,0,0,3465000,0
1952,5,2013,0,188352,3500,0,0,3640000,0
1960,5,2002,0,253810,4000,0,0,1470000,0
